id,title,genres,price,image,steam_page,developer,publisher,release_date
1039550,礎の楯 -AEGIS-,Action/Indie/Simulation/Strategy/Early Access,$11.99,https://steamcdn-a.akamaihd.net/steam/apps/1039550/header.jpg?t=1560928037,https://store.steampowered.com/app/1039550,Kotoshiro,Kotoshiro,"Jun 10, 2019"
1039470,Over My Dead Pixel,Action/Indie,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1039470/header.jpg?t=1555107384,https://store.steampowered.com/app/1039470,Minosh Digital,Minosh Digital,"Apr 12, 2019"
1039440,Star Fighters,Action/Casual/Free to Play/Indie/RPG/Strategy,,https://steamcdn-a.akamaihd.net/steam/apps/1039440/header.jpg?t=1553813865,https://store.steampowered.com/app/1039440,Orakga,Orakga,Unrealeased
1039430,Hyper Flight,Action/Indie/Racing/Simulation/Early Access,$4.99,https://steamcdn-a.akamaihd.net/steam/apps/1039430/header.jpg?t=1556485360,https://store.steampowered.com/app/1039430,Lewis Fitzjohn,Lewis Fitzjohn,"Apr 26, 2019"
1039400,净土英雄 - Heroes of Pure land,Indie/RPG/Strategy/Early Access,,https://steamcdn-a.akamaihd.net/steam/apps/1039400/header.jpg?t=1555228097,https://store.steampowered.com/app/1039400,Cloudmoon Studios,Cloudmoon Studios,Unrealeased
1039380,Bunny Parking,Casual/Indie/Strategy,$2.99,https://steamcdn-a.akamaihd.net/steam/apps/1039380/header.jpg?t=1567871969,https://store.steampowered.com/app/1039380,DillyFrame,DillyFrame,"Mar 23, 2019"
1039370,Draw With Unknown,Casual/Indie,$0.49,https://steamcdn-a.akamaihd.net/steam/apps/1039370/header.jpg?t=1565997746,https://store.steampowered.com/app/1039370,RewindApp,RewindApp,"Apr 18, 2019"
1039360,Light&Dark,Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1039360/header.jpg?t=1561306384,https://store.steampowered.com/app/1039360,Under the Stairs,ZEROLife,Unrealeased
1039350,StoneTide: Age of Pirates,Action/Adventure/Casual/Indie/RPG/Early Access,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/1039350/header.jpg?t=1571375820,https://store.steampowered.com/app/1039350,StoneTide Indie Dev Team,StoneTide Indie Dev Team,"Mar 26, 2019"
1039330,NOTE : a Composer and a Note,Action/Casual/Indie,$3.99,https://steamcdn-a.akamaihd.net/steam/apps/1039330/header.jpg?t=1572334107,https://store.steampowered.com/app/1039330,Hong Minam,PLAY Mephistowaltz,"Mar 12, 2019"
1039310,REGOLA,Casual/Simulation,,https://steamcdn-a.akamaihd.net/steam/apps/1039310/header.jpg?t=1563188028,https://store.steampowered.com/app/1039310,zoocros,zoocros,Unrealeased
1039290,"Drumpf 2: Lost, But Not Forgotten!",RPG/Strategy,$6.99,https://steamcdn-a.akamaihd.net/steam/apps/1039290/header.jpg?t=1572392995,https://store.steampowered.com/app/1039290,DP3 Softworks,DP3 Softworks,"Jul 15, 2019"
1039280,ProtoCorgi,Action/Indie,,https://steamcdn-a.akamaihd.net/steam/apps/1039280/header.jpg?t=1551557895,https://store.steampowered.com/app/1039280,Kemono Games,Kemono Games,Unrealeased
1039200,Poggers,Action/Casual/Indie,$2.99,https://steamcdn-a.akamaihd.net/steam/apps/1039200/header.jpg?t=1552823453,https://store.steampowered.com/app/1039200,ZaxtorGameS,ZaxtorGameS,"Mar 13, 2019"
1040080,Please The Gods,Adventure/RPG,$9.99,https://steamcdn-a.akamaihd.net/steam/apps/1040080/header.jpg?t=1564470304,https://store.steampowered.com/app/1040080,Surma Games,Spawn Point OSK,"Jul 17, 2019"
1040070,Merchant of the Skies,Indie/RPG/Simulation/Strategy/Early Access,$7.99,https://steamcdn-a.akamaihd.net/steam/apps/1040070/header.jpg?t=1571922793,https://store.steampowered.com/app/1040070,Coldwild Games,Coldwild Games,"Jul 30, 2019"
1040000,SpaceBullet,Action/Casual/Indie,$1.99,https://steamcdn-a.akamaihd.net/steam/apps/1040000/header.jpg?t=1553045999,https://store.steampowered.com/app/1040000,ACreativeGame Studio,ACreativeGame Studio,"Mar 19, 2019"
1039970,Grisaia Phantom Trigger Vol.6,Adventure/Casual,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/1039970/header.jpg?t=1572490131,https://store.steampowered.com/app/1039970,Frontwing,Frontwing USA,"Apr 25, 2019"
1039960,Grisaia Phantom Trigger Vol.5.5,Adventure/Casual,$14.99,https://steamcdn-a.akamaihd.net/steam/apps/1039960/header.jpg?t=1570677891,https://store.steampowered.com/app/1039960,Frontwing,Frontwing USA,"Apr 25, 2019"
